SECURITY,SHARES,FAIR VALUE ($),COST ($)
BARWA REAL ESTATE CO,102540,1027837,1339724
BATICIM BATI ANADOLU CIMENTO SANAYII AS,31290,64819,84475
BEADELL RESOURCES LTD,4258618,1168206,1150788
APACER TECHNOLOGY INC,115724,97195,95965
APL APOLLO TUBES LTD,1019,14799,14776
APOLLO TYRES LTD,67087,183369,170331
ARAB COTTON GINNING CO,334366,103548,299477
ARABIAN FOOD INDUSTRIES CO,826043,684652,859321
ARCELIK AS,48269,345160,336382
AREZZO INDUSTRIA E COMERCIO SA,167478,1349125,1095183
ARIAKE JAPAN CO LTD,14870,703733,858100
ARIZONA MINING INC,1361352,2001340,1347512
ARRIS INTERNATIONAL PLC,270195,7584377,7531757
ASCENDIS HEALTH LTD,40537,68737,64922
ASIA AVIATION PCL,1113095,241170,172104
ASIA CEMENT CO LTD,856,58486,86564
ASIA HOLDINGS CO LTD,759,67755,107118
ASICS CORP,20974,425217,446476
ASSECO POLAND SA,10227,149066,164894
ASTELLAS PHARMA INC,126488,1932750,1208923
ASTRAL FOODS LTD,22237,197070,326587
AU OPTRONICS CORP,440464,173518,135548
AUTO TRADER GROUP PLC,582702,2847367,2217200
AVANTI FEEDS LTD,4067,33351,33172
AVATEC CO LTD,13265,88753,143483
AVIANCA HOLDINGS SA,13379,92452,104742
AYGAZ AS,6425,24124,21083
AZBIL CORP,7864,230365,173957
BABCOCK INTERNATIONAL GROUP PLC,43600,597291,489309
BACANORA MINERALS LTD,298240,347638,344202
BAIDU INC,66008,11292039,10589944
BAJAJ CORP LTD,9185,54861,65380
BALMER LAWRIE & CO LTD,2752,28563,27647
BANCO DO BRASIL SA,73225,525788,985058
BANCO PRODUCTS INDIA LTD,12585,40617,41102
