SECURITY,SHARES,FAIR VALUE ($),COST ($)
SENA DEVELOPMENT PCL,191568,21583,21615
SENAO INTERNATIONAL CO LTD,59273,97697,88396
SENSATA TECHNOLOGIES HOLDING,57051,2172513,2785828
SEOHEE CONSTRUCTION CO LTD,341772,475110,342013
SEOYON CO LTD,17845,208861,222232
SEOYON E-HWA CO LTD,13226,192761,161076
SEOYON ELECTRONICS CO LTD,8006,23048,36700
SER EDUCACIONAL SA,8016,39760,24954
SEVEN & I HOLDINGS CO LTD,73285,3089841,2822406
SEWON PRECISION INDUSTRY CO LTD,1275,21549,18709
SHANDONG LUOXIN PHARMACEUTICAL CO LTD,36128,54402,62326
SHANGHAI PRIME MACHINERY CO LTD,135482,22532,23767
SHANGRI-LA ASIA LTD,921290,997691,1613267
SHEFFIELD RESOURCES LTD,4790945,2340413,1906087
SHELL REFINING(FOM),211408,159514,152819
SHENG YU STEEL,21247,17510,14011
SHENZHEN EXPRESSWAY CO LTD,9032,9548,7727
SHINDAEYANG PAPER CO LTD,1778,36031,60857
SHINHAN FINANCIAL GROUP CO LTD,145986,5368086,5655779
SHINSEGAE FOOD CO LTD,12869,1633172,1230124
SHINSEI BANK LTD,3929004,6267566,6779177
SHINWON CORP,14120,21782,22886
SHIONOGI & CO LTD,86559,3865387,3793433
SHIPPING CORP OF INDIA LTD,157731,156153,168913
SIAM COMMERCIAL BANK PCL,1182565,5466059,5495873
SIAMGAS & PETROCHEMICALS PCL,739334,245623,266610
SIEMENS AG,2085,248529,212513
SIKA AG,108,513318,491474
SILVER MINES LTD,10273916,1621486,1141098
SILVER WHEATON CORP,203014,5142336,2962194
SILVERLAKE AXIS LTD,4486727,2205751,2324608
SIMPAC INC,401744,1823162,2523459
SINHER TECHNOLOGY INC,29354,53379,42399
SINO BIOPHARMACEUTICAL LTD,924663,593653,583323
SINOTRANS LTD,900143,445618,601360
SINOTRUK HONG KONG LTD,703705,344743,438805
SINPAS GAYRIMENKUL YATIRIM ORTAKLIGI AS,424223,86017,100229
SINTEX INDUSTRIES LTD,88317,98708,159973
SITRONIX TECHNOLOGY CORP,62096,207439,201053
SIX OF OCTOBER DEVELOPMENT & INVESTMENT CO,870962,1315277,945453
SJM CO LTD,4879,28180,31259
SK HYNIX INC,24235,792244,1141703
SK INNOVATION CO LTD,3853,502802,346872
SKY LIGHT HOLDINGS LTD,168223,21687,45367
SKYWORTH DIGITAL HOLDINGS LTD,1624651,1204337,1207919
SM ENTERTAINMENT CO,53584,1311958,1880489
SMA SOLAR TECHNOLOGY AG,205806,7201967,9816661
SMILES SA,15467,239775,253093
SNC FORMER PCL,301955,125613,142507
SOCIEDAD MINERA CERRO VERDE SA,121088,2277664,2301654
SODEXO SA,1610,186205,100207
SOFTWARE AG,42418,1682811,1578795
SOHO CHINA LTD,1298909,775318,785073
SOLAR APPLIED MATERIALS TECHNOLOGY CORP,4516,1245,3650
SOMBOON ADVANCE TECHNOLOGY PCL,96926,38641,56619
SONATA SOFTWARE LTD,85506,196623,218328
SONY CORP,212236,6822499,5167664
SOULBRAIN CO LTD,124110,6890023,4343184
SOUTH INDIAN BANK LTD,151104,50767,48985
SOUTHERN CONCRETE PILE PCL,51031,12678,17425
SPRINGLAND INTERNATIONAL HOLDINGS LTD,428641,58023,139935
SRI TRANG AGRO-INDUSTRY PCL,536112,187400,209462
SRIKALAHASTHI PIPES LTD,79689,362391,280134
SRITHAI SUPERWARE PCL,1211940,67922,109467
SHELL REFINING(FOM),211408,159514,152819
SHENG YU STEEL,21247,17510,14011
SHENZHEN EXPRESSWAY CO LTD,9032,9548,7727
SHINDAEYANG PAPER CO LTD,1778,36031,60857
SHINHAN FINANCIAL GROUP CO LTD,145986,5368086,5655779
SHINSEGAE FOOD CO LTD,12869,1633172,1230124
SHINSEI BANK LTD,3929004,6267566,6779177
SHINWON CORP,14120,21782,22886
SHIONOGI & CO LTD,86559,3865387,3793433
SHIPPING CORP OF INDIA LTD,157731,156153,168913
SIAM COMMERCIAL BANK PCL,1182565,5466059,5495873
SIAMGAS & PETROCHEMICALS PCL,739334,245623,266610
SIEMENS AG,2085,248529,212513
SIKA AG,108,513318,491474
SILVER MINES LTD,10273916,1621486,1141098
SILVER WHEATON CORP,203014,5142336,2962194
SILVERLAKE AXIS LTD,4486727,2205751,2324608
SIMPAC INC,401744,1823162,2523459
SINHER TECHNOLOGY INC,29354,53379,42399
SINO BIOPHARMACEUTICAL LTD,924663,593653,583323
SINOTRANS LTD,900143,445618,601360
SINOTRUK HONG KONG LTD,703705,344743,438805
SINPAS GAYRIMENKUL YATIRIM ORTAKLIGI AS,424223,86017,100229
SINTEX INDUSTRIES LTD,88317,98708,159973
SITRONIX TECHNOLOGY CORP,62096,207439,201053
SIX OF OCTOBER DEVELOPMENT & INVESTMENT CO,870962,1315277,945453
SJM CO LTD,4879,28180,31259
SK HYNIX INC,24235,792244,1141703
SK INNOVATION CO LTD,3853,502802,346872
SKY LIGHT HOLDINGS LTD,168223,21687,45367
SKYWORTH DIGITAL HOLDINGS LTD,1624651,1204337,1207919
SM ENTERTAINMENT CO,53584,1311958,1880489
SMA SOLAR TECHNOLOGY AG,205806,7201967,9816661
SMILES SA,15467,239775,253093
SNC FORMER PCL,301955,125613,142507
SOCIEDAD MINERA CERRO VERDE SA,121088,2277664,2301654
SODEXO SA,1610,186205,100207
SOFTWARE AG,42418,1682811,1578795
SOHO CHINA LTD,1298909,775318,785073
SOLAR APPLIED MATERIALS TECHNOLOGY CORP,4516,1245,3650
SOMBOON ADVANCE TECHNOLOGY PCL,96926,38641,56619
SONATA SOFTWARE LTD,85506,196623,218328
SONY CORP,212236,6822499,5167664
SOULBRAIN CO LTD,124110,6890023,4343184
SOUTH INDIAN BANK LTD,151104,50767,48985
SOUTHERN CONCRETE PILE PCL,51031,12678,17425
SPRINGLAND INTERNATIONAL HOLDINGS LTD,428641,58023,139935
SRI TRANG AGRO-INDUSTRY PCL,536112,187400,209462
SRIKALAHASTHI PIPES LTD,79689,362391,280134
SRITHAI SUPERWARE PCL,1211940,67922,109467
STANDARD BANK GROUP LTD,349947,3166473,3716980
STAR COMGISTIC CAPITAL CO LTD,391768,159890,388489
STAR PETROLEUM REFINING PCL,3048286,977481,927613
STATE BANK OF BIKANER & JAIPUR,3657,37064,22871
STEEL STRIPS WHEELS LTD,2214,18860,17252
STOCKLAND LTD,953408,3475189,3293808
STRATEGIC OIL & GAS LTD,1289158,157208,1445570
SUMCO CORP,113470,991704,1013161
SUMITOMO MITSUI GROUP,52601,1841439,1612973
SUMITOMO REALTY & DEVELOPMENT CO,130017,3432228,4403314
SUN HUNG KAI PROPERTIES LTD,965407,13591058,13329384
SUNG WOO ELECTRONICS CO LTD,8859,42747,61993
SUNGSHIN CEMENT CO LTD,14205,111221,152521
SUNONWEALTH ELECTRIC MACHINE INDUSTRY CO LTD,584829,482896,411119
SUNREX TECHNOLOGY CORP,835408,452845,471880
SUNWAY BHD,65031,48908,61324
SUNWAY CONSTRUCTION GROUP BHD,1138337,460332,392379
SURYA ROSHNI LTD,33336,91913,84439
SWIRE PROPERTIES LTD,1544394,4350406,4287679
SYNNEX THAILAND PCL,153772,26876,22712
T WAY HOLDINGS INC,3602,24036,45190
TA ANN HOLDINGS BHD,32369,28494,33287
TAEKWANG INDUSTRIAL CO LTD,296,220397,299193
TAEYOUNG ENGINEERING & CONSTRUCTION CO LTD,635122,3275294,3313608
TAHOE RESOURCES INC,210377,2743459,2176326
TAICHUNG COMMERCIAL BANK CO LTD,188751,52407,60349
TAIHEIYO CEMENT CORP,1976987,6001584,5710230
TAINAN ENTERPRISES CO LTD,54757,51081,64711
TAIWAN COOPERATIVE FINANCIAL HOLDING CO LTD,726,319,360
TAIWAN FU HSING INDUSTRIAL CO,44032,59878,59040
TAIWAN LAND DEVELOPMENT CORP,168675,58209,76654
TAIWAN SAKURA CORP,40645,44192,48041
TAIWAN SEMICONDUCTOR MANUFACTURING CO,2978505,15748803,12594430
TAIWAN SURFACE MOUNTING TECHNOLOGY CORP,66047,56513,54887
TAIWAN UNION TECHNOLOGY CORP,62660,75436,55723
TALAAT MOUSTAFA GROUP,1149511,743044,743776
TAMBUN INDAH LAND BHD,55275,20853,20980
TAMIL NADU NEWSPRINT & PAPERS LTD,80205,383960,251410
TARENA INTERNATIONAL INC,15994,209524,182859
TATA CHEMICALS LTD,50776,421665,368346
TATA CONSULTANCY SERVICES LTD,226201,8482302,8591621
TATA METALIKS LTD,7387,50503,37515
TATA MOTORS LTD,56882,456703,316402
TECHNO MEDICA CO LTD,3655,54878,42331
TECHNOS SA,931508,1382657,4106076
TECK RESOURCES LTD,361983,5862680,3741340
TECNISA SA,270533,143098,136090
TEK SENG HOLDINGS BHD,100426,30458,33947
TELECOM EGYPT CO,224476,255318,620046
TELEKOMUNIKASI INDONESIA PERSERO TBK PT,2552120,809979,507117
TELESITES SAB DE CV,1607115,939462,1042790
STAR COMGISTIC CAPITAL CO LTD,391768,159890,388489
STAR PETROLEUM REFINING PCL,3048286,977481,927613
STATE BANK OF BIKANER & JAIPUR,3657,37064,22871
STEEL STRIPS WHEELS LTD,2214,18860,17252
STOCKLAND LTD,953408,3475189,3293808
STRATEGIC OIL & GAS LTD,1289158,157208,1445570
SUMCO CORP,113470,991704,1013161
SUMITOMO MITSUI GROUP,52601,1841439,1612973
SUMITOMO REALTY & DEVELOPMENT CO,130017,3432228,4403314
SUN HUNG KAI PROPERTIES LTD,965407,13591058,13329384
SUNG WOO ELECTRONICS CO LTD,8859,42747,61993
SUNGSHIN CEMENT CO LTD,14205,111221,152521
SUNONWEALTH ELECTRIC MACHINE INDUSTRY CO LTD,584829,482896,411119
SUNREX TECHNOLOGY CORP,835408,452845,471880
SUNWAY BHD,65031,48908,61324
SUNWAY CONSTRUCTION GROUP BHD,1138337,460332,392379
SURYA ROSHNI LTD,33336,91913,84439
SWIRE PROPERTIES LTD,1544394,4350406,4287679
SYNNEX THAILAND PCL,153772,26876,22712
T WAY HOLDINGS INC,3602,24036,45190
TA ANN HOLDINGS BHD,32369,28494,33287
TAEKWANG INDUSTRIAL CO LTD,296,220397,299193
TAEYOUNG ENGINEERING & CONSTRUCTION CO LTD,635122,3275294,3313608
TAHOE RESOURCES INC,210377,2743459,2176326
TAICHUNG COMMERCIAL BANK CO LTD,188751,52407,60349
TAIHEIYO CEMENT CORP,1976987,6001584,5710230
TAINAN ENTERPRISES CO LTD,54757,51081,64711
TAIWAN COOPERATIVE FINANCIAL HOLDING CO LTD,726,319,360
TAIWAN FU HSING INDUSTRIAL CO,44032,59878,59040
TAIWAN LAND DEVELOPMENT CORP,168675,58209,76654
TAIWAN SAKURA CORP,40645,44192,48041
TAIWAN SEMICONDUCTOR MANUFACTURING CO,2978505,15748803,12594430
TAIWAN SURFACE MOUNTING TECHNOLOGY CORP,66047,56513,54887
TAIWAN UNION TECHNOLOGY CORP,62660,75436,55723
TALAAT MOUSTAFA GROUP,1149511,743044,743776
TAMBUN INDAH LAND BHD,55275,20853,20980
TAMIL NADU NEWSPRINT & PAPERS LTD,80205,383960,251410
TARENA INTERNATIONAL INC,15994,209524,182859
TATA CHEMICALS LTD,50776,421665,368346
TATA CONSULTANCY SERVICES LTD,226201,8482302,8591621
TATA METALIKS LTD,7387,50503,37515
TATA MOTORS LTD,56882,456703,316402
TECHNO MEDICA CO LTD,3655,54878,42331
TECHNOS SA,931508,1382657,4106076
TECK RESOURCES LTD,361983,5862680,3741340
TECNISA SA,270533,143098,136090
TEK SENG HOLDINGS BHD,100426,30458,33947
TELECOM EGYPT CO,224476,255318,620046
TELEKOMUNIKASI INDONESIA PERSERO TBK PT,2552120,809979,507117
TELESITES SAB DE CV,1607115,939462,1042790
TELKOM SA SOC LTD,33495,138403,147770
TEMP HOLDINGS CO LTD,378086,6034893,5208571
TENAGA NASIONAL BHD,101467,368791,229791
TENARIS SA,182946,5020038,5494164
TENCENT HOLDINGS LTD,205497,5346233,3488486
TERNIUM SA,38936,778709,752825
TESCO CORP,102823,700223,799482
TEXHONG TEXTILE GROUP LTD,83388,123844,111167
THAI AIRWAYS INTERNATIONAL PCL,179231,163100,69418
THAI BEVERAGE PCL,7046511,5144571,3881733
THAI METAL TRADE PCL,60903,22872,23049
THAI NAKARIN HOSPITAL PCL,17162,20327,10812
THAI OIL PCL,97456,199188,167051
THAI UNION FROZEN PRODUCTS PCL,150432,93435,87150
THAI VEGETABLE OIL PCL,139207,134721,105972
THAICOM PCL,114747,72928,98551
THAI-GERMAN CERAMIC INDUSTRY PCL,167602,12201,20322
THALES SA,2616,226145,98671
THANACHART CAPITAL PCL,32039,37023,36209
THITIKORN PCL,53120,17187,16716
THOMAS COOK INDIA LTD,1256779,3728865,3613466
TIAJIN PORT DEVELOPMENT HOLDINGS,538540,83314,109185
TIANNENG POWER INTERNATIONAL LTD,930308,760389,630868
TIMAH PERSERO TBK PT,1356510,81810,77539
TIME TECHNOPLAST LTD,177631,210999,153626
TINPLATE CO OF INDIA LTD,154701,210210,171705
TIPCO ASPHALT PCL,921896,641843,371584
TISCO FINANCIAL GROUP PCL,78975,123200,110747
TNT POST GROEP,499383,2181923,2100181
TOHO CO LTD,6147,179182,111313
TOKYU FUDOSAN HOLDINGS CORP,1144702,6374517,7422986
TONGYANG LIFE INSURANCE CO LTD,7763,83891,92184
TONLY ELECTRONICS HOLDINGS LTD,6738,3475,5143
TOP ENGINEERING CO LTD,6777,41881,46693
TOP GLOVE CORP BHD,650425,681619,518701
TOP SPRING INTERNATIONAL HOLDINGS,84958,27820,44962
TOPBI INTERNATIONAL HOLDINGS LTD,131530,663236,550741
TOPCO SCIENTIFIC CO,47983,127025,116089
TOPOINT TECHNOLOGY CO LTD,47419,30262,48527
TORFARM SA,275,25444,23223
TORRENT PHARMACEUTICALS LTD,1977,48174,37374
TORRENT POWER LTD,95636,269114,302179
TORUNLAR GAYRIMENKUL YATIRIM,148528,219346,212979
TOSTEM CORP,100708,2031980,1832259
TOTVS SA,102310,947232,922820
TOVIS CO LTD,3396,27986,29615
TOWNGAS CHINA CO LTD,1552447,894632,1748784
TPV TECHNOLOGY LTD,89192,17708,21914
TRAKCJA SA,15175,45973,38452
TRAKYA CAM SANAYII AS,229997,195090,184604
TRANSCANADA CORP,78464,3566195,2545615
TEMP HOLDINGS CO LTD,378086,6034893,5208571
TENAGA NASIONAL BHD,101467,368791,229791
TENARIS SA,182946,5020038,5494164
TENCENT HOLDINGS LTD,205497,5346233,3488486
TERNIUM SA,38936,778709,752825
TESCO CORP,102823,700223,799482
TEXHONG TEXTILE GROUP LTD,83388,123844,111167
THAI AIRWAYS INTERNATIONAL PCL,179231,163100,69418
THAI BEVERAGE PCL,7046511,5144571,3881733
THAI METAL TRADE PCL,60903,22872,23049
THAI NAKARIN HOSPITAL PCL,17162,20327,10812
THAI OIL PCL,97456,199188,167051
THAI UNION FROZEN PRODUCTS PCL,150432,93435,87150
THAI VEGETABLE OIL PCL,139207,134721,105972
THAICOM PCL,114747,72928,98551
THAI-GERMAN CERAMIC INDUSTRY PCL,167602,12201,20322
THALES SA,2616,226145,98671
THANACHART CAPITAL PCL,32039,37023,36209
THITIKORN PCL,53120,17187,16716
THOMAS COOK INDIA LTD,1256779,3728865,3613466
TIAJIN PORT DEVELOPMENT HOLDINGS,538540,83314,109185
TIANNENG POWER INTERNATIONAL LTD,930308,760389,630868
TIMAH PERSERO TBK PT,1356510,81810,77539
TIME TECHNOPLAST LTD,177631,210999,153626
TINPLATE CO OF INDIA LTD,154701,210210,171705
TIPCO ASPHALT PCL,921896,641843,371584
TISCO FINANCIAL GROUP PCL,78975,123200,110747
TNT POST GROEP,499383,2181923,2100181
TOHO CO LTD,6147,179182,111313
TOKYU FUDOSAN HOLDINGS CORP,1144702,6374517,7422986
TONGYANG LIFE INSURANCE CO LTD,7763,83891,92184
TONLY ELECTRONICS HOLDINGS LTD,6738,3475,5143
TOP ENGINEERING CO LTD,6777,41881,46693
TOP GLOVE CORP BHD,650425,681619,518701
TOP SPRING INTERNATIONAL HOLDINGS,84958,27820,44962
TOPBI INTERNATIONAL HOLDINGS LTD,131530,663236,550741
TOPCO SCIENTIFIC CO,47983,127025,116089
TOPOINT TECHNOLOGY CO LTD,47419,30262,48527
TORFARM SA,275,25444,23223
TORRENT PHARMACEUTICALS LTD,1977,48174,37374
TORRENT POWER LTD,95636,269114,302179
TORUNLAR GAYRIMENKUL YATIRIM,148528,219346,212979
TOSTEM CORP,100708,2031980,1832259
TOTVS SA,102310,947232,922820
TOVIS CO LTD,3396,27986,29615
TOWNGAS CHINA CO LTD,1552447,894632,1748784
TPV TECHNOLOGY LTD,89192,17708,21914
TRAKCJA SA,15175,45973,38452
TRAKYA CAM SANAYII AS,229997,195090,184604
TRANSCANADA CORP,78464,3566195,2545615
TRANSMISSION DEVELOPERS INC,493234,283072,390808
TRAVIS PERKINS PLC,107631,2347052,3027798
TREVALI MINING CORP,4668795,3202558,2441074
TRIDENT LTD/INDIA,182029,140525,129159
TRILOGY ENERGY CORP,48506,213685,1296643
TROPICANA CORP BHD,46917,11916,12326
TRUWORTHS INTERNATIONAL LTD,913144,4725785,6528843
TSANN KUEN ENTERPRISE CO LTD,46650,44841,37045
TSOGO SUN HOLDINGS LTD,51655,106792,95559
TSURUHA HOLDINGS INC,25191,2469529,2375560
TTET UNION CORP,10161,25747,24921
TUNG HO STEEL ENTERPRISE CORP,45725,26659,27118
TURK PRYSMIAN KABLO VE SISTEMLERI AS,37409,32995,33181
TURK TUBORG BIRA VE MALT SANAYII AS,4671,9740,7550
TURKIYE GARANTI BANKASI AS,168572,434662,434565
TURKIYE HALK BANKASI AS,74124,222438,223121
TURKIYE IS BANKASI,340947,554208,779125
TURKIYE SISE VE CAM FABRIKALARI AS,440389,508982,452611
TURNKEY E & P INC,33169,2,0
TVS SRICHAKRA LTD,5085,197683,220726
TYC BROTHER INDUSTRIAL CO LTD,498107,561990,366834
UBE INDUSTRIES,123180,223888,222283
UBIQUOSS INC,9042,84335,106535
UBM PLC,123868,1115332,1140521
UBS GROUP AG,21548,311859,274494
UCHI TECHNOLOGIES BHD,56197,22864,21038
UEM EDGENTA BHD,90660,76230,86288
UFLEX LTD,99847,364458,245239
UJJIVAN FINANCIAL SERVICES LTD,376988,2387067,1530301
UJU ELECTRONICS CO LTD,6892,98281,97967
ULTRA CHIP INC,57015,86249,94024
ULTRAPAR PARTICIPACOES SA,103239,2363413,1869721
UMICORE SA,37152,2190564,1588828
UNIBAIL-RODAMCO SE,469,128629,93352
UNICHEM LABORATORIES LTD,10308,41458,46746
UNILEVER INDONESIA TBK PT,43964,151295,141705
UNIQUEST CORP,7204,33663,31630
UNISEM M BHD,1739066,1136365,1053249
UNITE GROUP PLC,142163,1166486,1220609
UNITECH PRINTED CIRCUIT BOARD CORP,72257,23228,32466
UNITED DEVELOPMENT CO QSC,113473,636645,707766
UNITED MICROELECTRONICS CORP,598025,613321,686823
UNITED RADIANT TECHNOLOGY CORP,71128,74198,72921
UNIVENTURES PCL,117192,21837,19231
UNIVERSAL HEALTH INTERNATIONAL,1245303,62612,549715
UOA DEVELOPMENT BHD,167263,101872,97643
UPC TECHNOLOGY CORP,99353,30341,29407
URANIUM PARTICIPATION CORP,25013,74731,115014
URBAN & CIVIC PLC,354186,1093590,1320586
URBI DESARROLLOS URBANOS SAB DE CV,64810,4,130441
VAKIF GAYRIMENKUL YATIRIM ORTAKLIGI AS,252128,184041,214453
TRAVIS PERKINS PLC,107631,2347052,3027798
TREVALI MINING CORP,4668795,3202558,2441074
TRIDENT LTD/INDIA,182029,140525,129159
TRILOGY ENERGY CORP,48506,213685,1296643
TROPICANA CORP BHD,46917,11916,12326
TRUWORTHS INTERNATIONAL LTD,913144,4725785,6528843
TSANN KUEN ENTERPRISE CO LTD,46650,44841,37045
TSOGO SUN HOLDINGS LTD,51655,106792,95559
TSURUHA HOLDINGS INC,25191,2469529,2375560
TTET UNION CORP,10161,25747,24921
TUNG HO STEEL ENTERPRISE CORP,45725,26659,27118
TURK PRYSMIAN KABLO VE SISTEMLERI AS,37409,32995,33181
TURK TUBORG BIRA VE MALT SANAYII AS,4671,9740,7550
TURKIYE GARANTI BANKASI AS,168572,434662,434565
TURKIYE HALK BANKASI AS,74124,222438,223121
TURKIYE IS BANKASI,340947,554208,779125
TURKIYE SISE VE CAM FABRIKALARI AS,440389,508982,452611
TURNKEY E & P INC,33169,2,0
TVS SRICHAKRA LTD,5085,197683,220726
TYC BROTHER INDUSTRIAL CO LTD,498107,561990,366834
UBE INDUSTRIES,123180,223888,222283
UBIQUOSS INC,9042,84335,106535
UBM PLC,123868,1115332,1140521
UBS GROUP AG,21548,311859,274494
UCHI TECHNOLOGIES BHD,56197,22864,21038
UEM EDGENTA BHD,90660,76230,86288
UFLEX LTD,99847,364458,245239
UJJIVAN FINANCIAL SERVICES LTD,376988,2387067,1530301
UJU ELECTRONICS CO LTD,6892,98281,97967
ULTRA CHIP INC,57015,86249,94024
ULTRAPAR PARTICIPACOES SA,103239,2363413,1869721
UMICORE SA,37152,2190564,1588828
UNIBAIL-RODAMCO SE,469,128629,93352
UNICHEM LABORATORIES LTD,10308,41458,46746
UNILEVER INDONESIA TBK PT,43964,151295,141705
UNIQUEST CORP,7204,33663,31630
UNISEM M BHD,1739066,1136365,1053249
UNITE GROUP PLC,142163,1166486,1220609
UNITECH PRINTED CIRCUIT BOARD CORP,72257,23228,32466
UNITED DEVELOPMENT CO QSC,113473,636645,707766
UNITED MICROELECTRONICS CORP,598025,613321,686823
UNITED RADIANT TECHNOLOGY CORP,71128,74198,72921
UNIVENTURES PCL,117192,21837,19231
UNIVERSAL HEALTH INTERNATIONAL,1245303,62612,549715
UOA DEVELOPMENT BHD,167263,101872,97643
UPC TECHNOLOGY CORP,99353,30341,29407
URANIUM PARTICIPATION CORP,25013,74731,115014
URBAN & CIVIC PLC,354186,1093590,1320586
URBI DESARROLLOS URBANOS SAB DE CV,64810,4,130441
VAKIF GAYRIMENKUL YATIRIM ORTAKLIGI AS,252128,184041,214453
VALE SA,452478,2384560,2428360
VALUE PARTNERS GROUP LTD,2591695,2388967,1819305
VANACHAI GROUP PCL,321882,141341,110104
VARDHMAN TEXTILES LTD,15701,234878,145073
VARUN INDUSTRIES LTD,1870,0,10120
VESTEL BEYAZESYA SANAYI VE TICARET AS,78894,334068,449587
VESTEL ELECTRONIK SANAYI VE TICARET AS,26974,66271,43506
VIA VAREJO SA,561568,1074929,892427
VIETNAM DAIRY PRODUCTS JSC,1445325,10108532,5716795
VINDA INTERNATIONAL HOLDINGS LTD,289848,547804,470275
VISANG EDUCATION INC,14872,222079,164146
VISTULA GROUP SA,13054,11715,9311
VIVENDI SA,412636,7987376,9435646
VS INDUSTRY BHD,1810261,642776,466876
WAL-MART DE MEXICO SAB DE CV,180028,409883,456316
WALSIN LIHWA CORP,74515,23953,20696
WALTON ADVANCED ENGINEERING INC,34999,10181,12317
WANT WANT CHINA HOLDINGS LTD,3972379,2616928,2714380
WEATHERFORD INTERNATIONAL PLC,269183,1472429,3213623
WEG SA,111157,564071,530154
WEIBO CORP,557,26591,15169
WEICHAI POWER CO LTD,71128,89772,78771
WEIQIAO TEXTILE CO,85523,59869,38428
WELL SHIN TECHNOLOGY CO LTD,54193,83944,89232
WELLING HOLDING LTD,825840,151183,177186
WELSPUN INDIA LTD,560328,407466,438311
WENDEL SA,224,25467,23115
WESTERN AREAS LTD,1730286,3211978,3216327
WESTFIELD CORP,7872,60462,75823
WH GROUP LTD,375802,295535,253433
WHARF HOLDINGS LTD,104226,736340,656719
WILLS TOWERS WATSON PLC,31058,3851541,3636648
WILSON BAYLY HOLMES-OVCON LTD,27621,279233,218954
WILSON SONS LTD,72339,788531,796820
WINBOND ELECTRONICS CORP,1371360,447317,434865
WIPRO LTD,703784,5166720,5990153
WISTRON CORP,293603,215596,184331
WNS HOLDINGS LTD,14333,420399,376407
WOONGJIN CO LTD,7663,19244,20788
WOOREE ETI CO LTD,7550,12595,19399
WTK HOLDINGS BHD,555470,136967,184282
XING INTERNATIONAL HOLDINGS LTD,658780,214023,149259
XINHUA WINSHARE PUBLISHING AND MEDIA CO LTD,20322,20698,26426
XIWANG SPECIAL STEEL CO LTD,1268447,116105,182546
XTEP INTERNATIONAL HOLDINGS LTD,314148,162405,148480
YAGEO CORP,742373,1574564,1480592
YAHOO JAPAN CORP,60198,245599,218201
YAMAHA CORP,1776,57592,51471
YANDEX NV,640,14098,14111
YANTAI CHANGYU PIONEER WINE CO,1448875,4129902,5377110
YC INOX CO LTD,269496,190674,177580
VALUE PARTNERS GROUP LTD,2591695,2388967,1819305
VANACHAI GROUP PCL,321882,141341,110104
VARDHMAN TEXTILES LTD,15701,234878,145073
VARUN INDUSTRIES LTD,1870,0,10120
VESTEL BEYAZESYA SANAYI VE TICARET AS,78894,334068,449587
VESTEL ELECTRONIK SANAYI VE TICARET AS,26974,66271,43506
VIA VAREJO SA,561568,1074929,892427
VIETNAM DAIRY PRODUCTS JSC,1445325,10108532,5716795
VINDA INTERNATIONAL HOLDINGS LTD,289848,547804,470275
VISANG EDUCATION INC,14872,222079,164146
VISTULA GROUP SA,13054,11715,9311
VIVENDI SA,412636,7987376,9435646
VS INDUSTRY BHD,1810261,642776,466876
WAL-MART DE MEXICO SAB DE CV,180028,409883,456316
WALSIN LIHWA CORP,74515,23953,20696
WALTON ADVANCED ENGINEERING INC,34999,10181,12317
WANT WANT CHINA HOLDINGS LTD,3972379,2616928,2714380
WEATHERFORD INTERNATIONAL PLC,269183,1472429,3213623
WEG SA,111157,564071,530154
WEIBO CORP,557,26591,15169
WEICHAI POWER CO LTD,71128,89772,78771
WEIQIAO TEXTILE CO,85523,59869,38428
WELL SHIN TECHNOLOGY CO LTD,54193,83944,89232
WELLING HOLDING LTD,825840,151183,177186
WELSPUN INDIA LTD,560328,407466,438311
WENDEL SA,224,25467,23115
WESTERN AREAS LTD,1730286,3211978,3216327
WESTFIELD CORP,7872,60462,75823
WH GROUP LTD,375802,295535,253433
WHARF HOLDINGS LTD,104226,736340,656719
WILLS TOWERS WATSON PLC,31058,3851541,3636648
WILSON BAYLY HOLMES-OVCON LTD,27621,279233,218954
WILSON SONS LTD,72339,788531,796820
WINBOND ELECTRONICS CORP,1371360,447317,434865
WIPRO LTD,703784,5166720,5990153
WISTRON CORP,293603,215596,184331
WNS HOLDINGS LTD,14333,420399,376407
WOONGJIN CO LTD,7663,19244,20788
WOOREE ETI CO LTD,7550,12595,19399
WTK HOLDINGS BHD,555470,136967,184282
XING INTERNATIONAL HOLDINGS LTD,658780,214023,149259
XINHUA WINSHARE PUBLISHING AND MEDIA CO LTD,20322,20698,26426
XIWANG SPECIAL STEEL CO LTD,1268447,116105,182546
XTEP INTERNATIONAL HOLDINGS LTD,314148,162405,148480
YAGEO CORP,742373,1574564,1480592
YAHOO JAPAN CORP,60198,245599,218201
YAMAHA CORP,1776,57592,51471
YANDEX NV,640,14098,14111
YANTAI CHANGYU PIONEER WINE CO,1448875,4129902,5377110
YC INOX CO LTD,269496,190674,177580
YEARIMDANG PUBLISHING CO LTD,47609,198335,275267
YES24 CO LTD,12561,72439,108288
YOKOGAWA ELECTRIC CORP,1495,19154,16054
YONYU PLASTICS CO LTD,24274,25513,27970
YOOSUNG T&S CO LTD,13634,72388,63070
YUEXIU REAL ESTATE INVESTMENT TRUST,828132,543422,460752
YUEXIU TRANSPORT INFRASTRUCTURE LTD,32741,22709,21544
YUZHOU PROPERTIES CO LTD,503540,175274,134857
ZENKOKU HOSHO CO LTD,99210,3898957,2418399
ZENSAR TECHNOLOGIES LTD,3585,57642,40266
ZEUS CO LTD,11527,147321,118682
